"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
1315.0003303087,2.13592100787791,0.166963469659024,2.04648081191225e-38,3.50418909423734e-34,"SLC6A8"
36788.2458148895,3.57049471285325,0.289160395523516,1.03419195705809e-35,8.85423444035282e-32,"FLT1"
8555.27204040386,4.82709149451683,0.397821349402637,2.36136713012182e-34,1.34778964563586e-30,"FSTL3"
152.830971053443,3.04073969903377,0.261900985266144,5.93554331545277e-32,2.54085770476244e-28,"TMEM45A"
116.282635076991,2.3491234094425,0.205843143015014,4.18737591415313e-31,1.43400875556088e-27,"SPAG4"
1391.31457646719,2.19677453126144,0.203622573812156,4.73454133065544e-28,1.35115918674689e-24,"SASH1"
113.101686820973,2.76963055764014,0.257466606936915,7.49646550970798e-28,1.833742556039e-24,"MIR210HG"
4848.6915448721,4.64240834968599,0.434744609187843,3.95472001687076e-27,8.46458385610975e-24,"HTRA4"
2686.70750255314,1.89742248184304,0.185033801780582,1.28523456326202e-25,2.44523015852617e-22,"FLNB"
64.1754631769247,2.70707780997885,0.267184383757874,5.38822084971149e-25,9.22625056096098e-22,"PNCK"
201.856956805315,-2.37545381716161,0.240474512636516,1.04218904502195e-24,1.62230936526462e-21,"NAV2-AS4"
3871.30645173121,2.16744011502899,0.216466731721023,1.47193835384433e-24,2.10033336940637e-21,"NDRG1"
3659.18024563522,1.66608817984826,0.167999111186812,3.94567749701138e-24,4.87407150018333e-21,"GBA1"
158.614381417926,1.48303638554296,0.149877043951123,4.09231604326234e-24,4.87407150018333e-21,"LOC102723566"
587.632360984814,2.94639254411984,0.296325267376613,4.26975836610115e-24,4.87407150018333e-21,"MYO7B"
2158.72920135763,-2.58548168130881,0.269675954649656,1.5485994315401e-23,1.65729175414132e-20,"CLDN1"
66.5642854479452,1.8446562060143,0.190236183164319,2.98744913538996e-23,2.87177401508114e-20,"MTX1LP"
22.8693878175532,3.04736222400271,0.313110153973808,3.01885956149393e-23,2.87177401508114e-20,"PPP1R1C"
15.8755206510428,3.56385335477443,0.366765118092139,3.32335361900418e-23,2.99504126411624e-20,"TBC1D26"
375.732720073425,1.07234120110096,0.113135357687552,2.43197128802079e-22,2.082132218239e-19,"C8orf58"
11107.8766771101,2.0000816453284,0.21117259321481,2.78392987446694e-22,2.26996339240464e-19,"ENG"
6517.81292107895,6.35556218680621,0.666862353201807,9.57716635489315e-22,7.4540827043107e-19,"LEP"
801.391057302172,1.89997047740784,0.206030105049263,3.19329684899777e-21,2.37734008458212e-18,"PROCR"
892.463835921228,1.59326875530941,0.173294337540933,3.83872017825472e-21,2.73876690051065e-18,"IGSF8"
453.149632149987,-1.60560542608008,0.177084288608614,4.02804480885645e-21,2.75888845048196e-18,"TLCD5"
4307.18228565551,1.58465208655196,0.172686789670303,4.56858141437018e-21,3.00876229070233e-18,"SH3PXD2A"
1269.81974353349,2.0395190731538,0.223205894296625,7.36532103693339e-21,4.67097748575594e-18,"BHLHE40"
498.183240163363,-2.034868611545,0.227796216928996,9.63854705279867e-21,5.8943157566097e-18,"ACOXL"
77.7792312229675,-1.87300907586618,0.210136237621243,1.36261110036453e-20,7.7773299571806e-18,"CATSPERB"
605.043924039899,1.36194466727588,0.150431213338828,1.34487967479025e-20,7.7773299571806e-18,"ERO1A"
55.9459770676509,2.43106038566783,0.269157088657188,2.04145419393468e-20,1.12760710202399e-17,"PDZD7"
1806.68403664355,1.02750222953311,0.114331157437185,2.51547384668173e-20,1.30522602050701e-17,"ERGIC1"
178.685582728557,-1.11062264365667,0.126710406692444,7.89898779432575e-20,3.9780696471247e-17,"ZC2HC1A"
1454.79053087346,1.48508027304864,0.168051565468597,9.80409657825885e-20,4.79644416312932e-17,"SFXN3"
4861.47426805098,1.37520183981835,0.155861993007013,1.08361483439125e-19,5.15409355813372e-17,"NECTIN4"
4999.89736808052,1.24083081453599,0.140808043080989,1.21197100584971e-19,5.60880527923367e-17,"GAPDH"
44.1516604723633,3.04647807561697,0.344402917578994,1.38521838675762e-19,6.2418669569607e-17,"RARRES1"
804.688855287996,1.66102940110841,0.189155891305451,1.64283369141908e-19,7.03256032454225e-17,"TPBG"
1303.73816252495,1.32073755015038,0.150507761428625,1.68768518784802e-19,7.04834962720042e-17,"LDHA"
145.042268139714,1.55216489493798,0.177145482510623,1.94373128780555e-19,7.9244073431177e-17,"TRIM14"
309.406274304752,1.26410831063843,0.144452338275104,2.08441349379897e-19,8.30032843123715e-17,"P4HA1"
248.037726825718,-1.94818675754674,0.227253022596964,2.40014926381974e-19,9.34039905554214e-17,"CRACD"
678.382847312961,1.79491540885811,0.20550677673122,2.62684482092628e-19,9.99543641527128e-17,"TET3"
187.081096265254,-2.23645124576968,0.264899916843385,5.88617866752876e-19,2.14444760264032e-16,"FBXW11P1"
392.245496802245,1.34233511919484,0.156139339423162,7.92293912872385e-19,2.76866299390079e-16,"CYP2J2"
208.354323582197,1.45794691770472,0.169778289997788,8.9051713638218e-19,3.04966498525441e-16,"PLEKHA2"
91.6125871452737,-2.60166699068068,0.313178733744898,1.80989472664362e-18,5.95977450083051e-16,"CLDN16"
307.153797100576,1.92929171757483,0.227298173678804,2.25997013557888e-18,7.30140917575796e-16,"SCD"
36.1449751412863,2.07749806916649,0.247963732976139,5.21871037322592e-18,1.62472686764995e-15,"ANKRD37"
91.1147095833537,3.53634604021414,0.421236219820988,8.61918255463942e-18,2.63546898005519e-15,"ARHGEF4"
1427.24904980677,1.18816612667246,0.143352722131064,9.76577205911939e-18,2.93367219242634e-15,"SEMA4C"
736.683682325782,1.01099730785674,0.122005547988829,1.14167086026518e-17,3.37048795522771e-15,"FRMD4A"
20789.1505688561,1.94700422883765,0.235247005811109,1.36310139295039e-17,3.9559974833033e-15,"INHBA"
54.703509831193,-2.0475898583389,0.253269694179671,2.13133027841321e-17,5.98274891102778e-15,"ACOXL-AS1"
5457.45844132111,1.3203456765686,0.161571507235547,2.97535981249376e-17,8.08683905862391e-15,"DUSP1"
690.576164038895,1.7985118998994,0.220155181179231,3.27325808042519e-17,8.75749970486259e-15,"GREM2"
1549.27747414588,1.56347878471939,0.19235828206022,4.27939168918882e-17,1.12732344452277e-14,"BCL6"
108.69828412389,-2.1329625396293,0.269349008639604,4.5262231224309e-17,1.17428058371795e-14,"SOD1-DT"
5693.94655408698,1.49174604588421,0.185357589817816,7.17976830730658e-17,1.83491302576135e-14,"HEXB"
195.008594877269,2.10536978972328,0.261759363202463,9.99197725368607e-17,2.51606803698333e-14,"RASEF"
167.626549966335,2.16510942685824,0.271123463329725,1.64135268623352e-16,4.01498314948236e-14,"JPH2"
72.1369255852508,2.47529139152643,0.309436779858654,1.62444296998955e-16,4.01498314948236e-14,"SLC44A3-AS1"
4046.22159393679,1.14883559785537,0.144514371317951,1.79678214372169e-16,4.33328178126008e-14,"GPX3"
124.641423730316,1.35053325165333,0.170717524705149,2.3287095542637e-16,5.53812412467462e-14,"KYAT1"
172.790984672968,1.31512375698314,0.16634263883812,2.48049774123518e-16,5.81829627714657e-14,"GBA1LP"
306.910015395777,1.7601661894746,0.222575267209417,2.66973228747368e-16,6.17754404843402e-14,"GPT2"
281.228624911877,1.43531259704759,0.184015083786502,5.8973000213715e-16,1.31142166579148e-13,"GP6-AS1"
20.312208987076,1.74843606299738,0.224939374601719,5.75289895259907e-16,1.31142166579148e-13,"SLC38A3"
25.8375805129083,2.06315209854356,0.263953291215856,5.8540002500201e-16,1.31142166579148e-13,"TNR"
2998.1160716377,1.37078582524073,0.176589258641251,8.39896784044346e-16,1.8437887991271e-13,"ARRDC3"
20.6407813164967,2.13350740220187,0.275920511532544,9.89696957538477e-16,2.14513683594068e-13,"LINC01284"
3597.55648472914,1.91502805128166,0.249147236655871,1.63908260276537e-15,3.50825142589394e-13,"SIGLEC6"
3424.23434006912,1.22999306294825,0.1604604851151,1.72485448002831e-15,3.64625719278083e-13,"RDH13"
290.184937210568,2.32503204057566,0.302366983921478,1.82832948509037e-15,3.81786411868322e-13,"SH3BP5"
