"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GABRP",19.5549283962334,3.18304264276651,0.642049311577758,9.79434700251315e-12,1.27620341442746e-07
"REN",21.2155122717003,1.90096245415185,0.424655140591103,2.01594768463406e-08,0.000131338991653909
"HOMER2",23.7746553539946,1.59748007348536,0.34228324308264,1.05414208165803e-07,0.000457849044133473
"AGR2",14.8917296452579,2.08423170173244,0.550827286237663,4.63374180797334e-07,0.00150944139394732
"SYNPR",26.9203287271996,-0.000439215371898741,0.0102455838884262,2.25039861093895e-06,0.00586453878010692
"MMP7",19.5341897173455,2.4943736806548,1.01274045838792,5.70586390291025e-06,0.0123912344424868
"PAEP",239.544198164782,3.62349690752709,1.87770990764348,7.13232559593881e-06,0.0132763146450118
"DNER",12.2568221756087,1.56489091812416,0.45130446249048,1.23392664657016e-05,0.0177249746323683
"QPCT",81.0501277131708,1.05300860348657,0.283969160468552,1.11741838978117e-05,0.0177249746323683
"SGK2",26.2772513281427,0.857708493010644,0.237716151321463,1.36032038621399e-05,0.0177249746323683
"PROX1",20.8584923199208,0.904565576608495,0.259874202461641,1.74412604923955e-05,0.0206599658378102
"PTPN13",185.430262130572,1.05987573281923,0.321385928807408,2.2629271142345e-05,0.0245716169153963
"MMP12",87.3780222387194,2.78672395668274,1.22708089855472,2.97558040765466e-05,0.0298244713167233
"CP",138.777134747407,1.68541528179795,0.689860784718072,3.52558826498568e-05,0.0306256100618422
"TMTC1",218.98028603951,1.16886210319041,0.369802123789942,3.48678402833281e-05,0.0306256100618422
"OGN",136.296679626681,2.22294838371325,0.767521380348937,3.86458644466079e-05,0.0314722258587063
"MEIS1",263.351328082719,0.385606968384289,0.119495433255004,4.4326144430138e-05,0.0339746859955705
"REEP6",10.6269867566794,1.18742409139864,0.399878967654837,5.85763245522344e-05,0.0424027504953119
"NUP62",342.752926670623,-0.161424695328785,0.0518884935663506,6.4256954448703e-05,0.0440547108132983
"SGPP2",14.2349750224631,1.41126077923567,0.459490467849037,6.76204310257841e-05,0.0440547108132983
"CD96",20.3224579925645,1.00480000453244,0.347178233229593,0.000114649063513112,0.0711370141702788
"PARPBP",53.7092945822471,0.520587603306428,0.180923631371644,0.00013106013745674,0.0776233450482419
"SLC1A2",234.992047429687,0.791414730922296,0.289072523105676,0.000159157214556643,0.0901660219857851
"C1orf21",354.266890327798,0.34963981560377,0.12521205662268,0.000181657276936364,0.0986247632700341
"PLEKHH2",89.6644493540057,0.826993516678848,0.311293304741993,0.000191441342519111,0.0997792277209608
"COLEC11",28.3852710124635,0.685692738280061,0.253857055733166,0.000204247935133487,0.102359638261128
"GPR158",91.1394511556287,-0.382948098731842,0.144507785696072,0.000217598042890867,0.105011203661778
"MTG2",157.018068636341,-0.00679705530800992,0.0138002951939675,0.000229517733385328,0.106807716643244
"ADAMTS20",11.7637416207577,1.04522139941339,0.388768221951283,0.000274065468138177,0.121820730710887
"PPDPF",112.878951795601,0.586037576067987,0.221979648957681,0.000280477507392679,0.121820730710887
"IGFBP5",6791.11524616188,0.570405736727149,0.219000075829735,0.000300598930544515,0.126348518225646
"SLPI",23.4708937646632,1.44211533683592,0.806550179928276,0.000380476543678745,0.154925292629189
"NBEAP1",36.0973500281516,-0.000534896532100407,0.010251605267876,0.0004048743346902,0.155334813944707
"OAF",75.5131637580891,0.717611335600461,0.323220078686253,0.000410920708337815,0.155334813944707
"ZNF300",17.2205311040214,0.647155990349023,0.263959357546264,0.000417246238531446,0.155334813944707
"GDF7",67.2482346977469,0.962640655435764,0.492316003148037,0.000494359652910915,0.174094764254844
"RAD51B",84.5692259149569,0.222783336728911,0.0933328376584979,0.000488754982030802,0.174094764254844
"DHRS9",39.1917127090469,0.679794899803355,0.298393073774502,0.000570302460503698,0.178247941891145
"FOXO1",363.358909635508,0.644965222928538,0.274821018304234,0.000574438063425872,0.178247941891145
"PRPS2",65.7751078401741,0.667130664784434,0.29230543867499,0.000524971962238893,0.178247941891145
"RGS22",16.0495279078732,1.04757356153006,0.521527946178451,0.000574552076702079,0.178247941891145
"SULF2",336.605439712954,0.785292433402343,0.353901818338425,0.000546220236055551,0.178247941891145
"SLC44A3",51.5419670236192,0.368229507458042,0.155874252571079,0.00059533286369792,0.180399702650788
"SCN7A",275.320399997197,0.50527869073288,0.218007956258276,0.000653512665704554,0.193528864412053
"DHRS2",480.691067021412,-0.000787174862695143,0.010274183979107,0.000680332662740467,0.196994102122406
"PTPRJ",1762.58462765981,-0.262167661064616,0.124308565315342,0.000789518325615369,0.214321328807672
"SLC29A3",298.062091496891,-0.299136533615451,0.142894203748726,0.000783804375097426,0.214321328807672
"YBEY",22.2596218121845,0.444257884570733,0.201509682060944,0.000772150150880511,0.214321328807672
"GGT5",55.1163634574707,0.868645733490114,0.381272245381347,0.000856894680760331,0.223306753806142
"MDK",127.681301609172,0.469432777670231,0.222270916586604,0.000842132342555729,0.223306753806142
"CACNG4",17.7769072534661,-0.00136317195236514,0.0103587016770828,0.000895994374867913,0.223501201649136
"CDH13",77.8132234863884,0.658850298002537,0.325817237405193,0.000908474296314145,0.223501201649136
"SPON2",118.443101426794,0.845206837276905,0.407701965363518,0.000909099285295795,0.223501201649136
"ALDH1A1",264.810600799616,1.33468604856978,0.585173658020301,0.000956901152166602,0.226698582049651
"GJB5",28.4375833365288,-0.810874787977845,0.424834965438886,0.000954542999363595,0.226698582049651
"SLC6A9",40.3998225634624,-0.509800551035842,0.261855557261929,0.000984310907930953,0.228653471584939
"SNAP91",12.4552588425641,1.26462583889579,0.676942943850082,0.00100024926172997,0.228653471584939
"GZMB",10.3904054588102,0.964494871537066,0.470095104046321,0.00107067129400664,0.228702409195189
"IL15",29.2570743948262,0.785332878923905,0.403270424365727,0.00106694523265704,0.228702409195189
"PCGF6",77.165832126908,0.215243520267058,0.104628026886907,0.00104294147762987,0.228702409195189
"TTC39A",10.1091940785576,0.823908759265729,0.427998033307449,0.00104660156883,0.228702409195189
"GSTM3",124.875941865394,0.571119338901376,0.276437821338501,0.00110965892093898,0.233207350642498
"DYNC2LI1",67.6251641289346,0.351140868130452,0.17660114088604,0.00113597940420244,0.234949391059648
"PKDCC",49.3433537954288,0.643774897450543,0.338038585119923,0.00128164043171701,0.26065549253561
"RERG",251.722131523448,0.26972666544565,0.140499883490701,0.00130027682385377,0.26065549253561
"RBM14",376.416160343887,-0.158984436186712,0.0844847142100409,0.00133379155631978,0.263322787558283
"ZNF826P",36.5225122963529,0.385909912014242,0.209020604921725,0.0014240452275499,0.276944915148884
"PDCD6IPP2",10.6453376688027,-0.680095147846236,0.381953054309437,0.00155089921863775,0.293463235819336
"SEMA3A",182.414876388226,0.587910701851023,0.307795751761954,0.00155402634470715,0.293463235819336
"CCNB3",10.6932488085831,-0.000973413357755008,0.0102959293008767,0.00158077052501642,0.294249142013771
"ACAT1",202.495069314999,0.224338810481522,0.121962221907731,0.00161351657651934,0.296114380169676
"DECR1",139.690167105825,0.269006827445173,0.147903218884768,0.00163679901265692,0.296215154651663
"CD38",13.020770146714,0.915391028341668,0.470015701367884,0.0017141983518594,0.298923763143575
"DPM3",28.2190162944498,0.284599670321881,0.164493837460437,0.00173562671776873,0.298923763143575
"SCNN1A",14.4013257584068,0.752981581972624,0.630705738689912,0.00172247017320149,0.298923763143575
"ZNF574",135.722105106056,-0.188296179318247,0.108478974101342,0.00174353077505078,0.298923763143575
"CLSTN2",137.71433624932,0.729718481117603,0.413992266092843,0.00184429912916419,0.300342218409382
"DDR2",607.152714684996,0.401762420551789,0.236396230087291,0.00186705446593707,0.300342218409382
"MTR",1232.28954540035,0.178096702529576,0.0991240677753034,0.0017973934847045,0.300342218409382
"NR5A2",10.6789956140769,0.80395845652726,0.437493029769496,0.00182270576597146,0.300342218409382
"SLC15A1",39.6289208625079,0.661297335763886,0.361070930272256,0.001824036068591,0.300342218409382
"PCBD2",61.698139017455,0.215260237124387,0.127323936836264,0.00195655254119537,0.310900970875313
"SIDT1",16.5978676784087,0.434785047626564,0.265353694680451,0.00203374479984193,0.319273430625788
"SYTL4",61.0695589152135,0.452879767058078,0.280320190568413,0.00210241389234547,0.326124440681685
"ALDH2",62.6091702733949,0.412070440731135,0.255602391617299,0.00223485866176214,0.329200042247059
"ATP11B",515.597144734467,0.192405347457841,0.116768443011548,0.00228535708923503,0.329200042247059
"CD44",1199.70487220228,0.315169834425205,0.199303895574228,0.00226091486435181,0.329200042247059
"CTU2",43.6178903422784,-0.223076694447692,0.136969591071279,0.0021519363500192,0.329200042247059
"GTF2H3",155.776949994188,0.153354381748585,0.0938074741650303,0.0023010027422651,0.329200042247059
"NXN",158.11549052235,0.319247113179952,0.192018380054874,0.00218236233765049,0.329200042247059
"SMPDL3A",562.936817310174,-0.00301665804951714,0.0108530921970368,0.00232435946943434,0.329200042247059
"TMEM45A",245.858995066189,0.693901470518959,0.422226124684961,0.00223697418054207,0.329200042247059
"VWA5A",973.486995647279,-0.336385414084739,0.219927071034437,0.00237682250810581,0.333010723447513
"DLGAP1",20.5968269952333,0.676061469503704,0.409633217280425,0.00247156789568453,0.334669031671412
"DNAJC6",584.066784452572,-0.23673160303428,0.172250280980553,0.00251708097496534,0.334669031671412
"MGP",535.177220329232,0.497365356750686,0.31072431975592,0.00241843064498479,0.334669031671412
"TCOF1",429.261066585207,-0.141880704078599,0.0961293810337251,0.00250704385059973,0.334669031671412
"ZFY",228.729402017601,-0.491905037312694,0.303706366429173,0.00247404396728112,0.334669031671412
"ST6GALNAC1",37.8007473857803,0.413899150201829,0.261253623170957,0.00256058324381174,0.337014138049162
"KLHL7",200.226054639672,0.150869394533917,0.0957680044493367,0.00267843177221808,0.342156529333349
"NTAN1",105.767498798696,0.248859433792687,0.164215071827151,0.0026388160851558,0.342156529333349
"P2RY14",204.562615749884,0.523115907292746,0.32972979517397,0.00266982673547033,0.342156529333349
"CHPT1",233.599008336788,0.19166622830611,0.128209640677168,0.0027630794159935,0.349542959130051
"INPP4B",239.708148191104,0.370440474069178,0.270989177666255,0.00294923882860054,0.369505595544856
"CCRL2",32.829285877559,0.402741199927599,0.292566412697598,0.00316973351202871,0.38242247834939
"CYBRD1",606.234666129498,0.374916966257908,0.270267533994774,0.00314532923329766,0.38242247834939
"PRL",74.4152218563607,0.000233263547792435,0.0102354131554881,0.0031310333349328,0.38242247834939
"ZBED3-AS1",18.2820036932033,0.455675213215279,0.386444268421334,0.00312544885727284,0.38242247834939
"RPGR",101.752336914782,0.23316476218765,0.172875109872606,0.00320661603551363,0.383322999474703
"ABI3BP",376.553365117186,0.938558649532057,0.645980658628858,0.0035444937930892,0.383861855867614
"ARTN",41.4071992302861,-0.00112783185024797,0.0103161101280336,0.00353665753572577,0.383861855867614
"BOC",40.4540712184694,0.417222904989657,0.860468984386047,0.00400321095508419,0.383861855867614
"CCDC89",6.786109174891,0.360248213268486,0.383682868774422,0.00385662533658355,0.383861855867614
"CCNB1IP1",150.655969908998,0.172923836303872,0.148508831604513,0.00398538581824894,0.383861855867614
"CFH",395.461759293475,0.551474492156974,0.462385856154126,0.00408742003903631,0.383861855867614
"CFTR",23.0555193255199,-0.00079052559919669,0.0102734254470492,0.00422956551642327,0.383861855867614
"CTPS2",138.541514141335,0.157171525650325,0.131666565359258,0.00378496408451345,0.383861855867614
"DACT2",1496.55495111992,-0.0019478968862137,0.0104851098035095,0.00420924471790493,0.383861855867614
"DBN1",76.397347368039,0.346831685425668,0.462440368844148,0.00404119721248158,0.383861855867614
"DEPTOR",79.4097712888607,0.552674661046532,0.641699716011231,0.00341477414381908,0.383861855867614
"GOLT1A",18.5223728131075,0.555385884627896,0.394359918051264,0.00367875073301121,0.383861855867614
"INHBB",36.6198793816547,0.631920170817981,0.481714421022115,0.00424221851457685,0.383861855867614
"KLC4",181.997700554648,-0.120218631479149,0.104911418868806,0.00363856376467352,0.383861855867614
"LPAR3",22.4884394145276,0.573342346820834,0.491608905306856,0.00379441689557941,0.383861855867614
"MXRA8",284.202069060411,0.387769949571966,0.31628986073139,0.00360808863603933,0.383861855867614
"NBL1",97.4958802039148,0.441491757977013,0.411218575695784,0.00374443145764827,0.383861855867614
"NID1",2854.70302113903,0.00218486250940425,0.0105515777213623,0.00396059256798093,0.383861855867614
"PDGFRB",1259.13622336658,0.269554138529964,0.205400870615774,0.00333171619603688,0.383861855867614
"PLAU",1458.1361935741,-0.00132605928516756,0.0103488455208003,0.00411827000567033,0.383861855867614
"PLCB1",652.932740550491,-0.00158538211545719,0.0103995079579082,0.00400850372132165,0.383861855867614
"PPA2",270.310879216894,0.119277020590669,0.0991602757993381,0.00393825896823502,0.383861855867614
"PRKD3",542.301506687849,0.247431464495282,0.207059357776077,0.00407722503493901,0.383861855867614
"RBP1",133.604872147928,0.682813279425483,0.661626009912448,0.00340586777589967,0.383861855867614
"RCC2",331.850865542945,-0.123651792352283,0.126467714402055,0.00409876533593497,0.383861855867614
"RHOQ",605.198071213829,0.18849510476665,0.142435857766957,0.00362279595635392,0.383861855867614
"RIT1",353.145175923184,0.107461395417421,0.088506830134259,0.00388257529415798,0.383861855867614
"SEC14L2",7.53233334276068,0.409274456172308,0.486418423890038,0.0041681079958626,0.383861855867614
"SMOC2",222.536833669008,0.368216639863055,0.273318143409589,0.00364364273352002,0.383861855867614
"SMOX",29.5528069651224,0.520268619104529,0.731525997909665,0.00421824635385398,0.383861855867614
"TKT",1578.1567440006,-0.201809956236059,0.175653396131189,0.00336653200671326,0.383861855867614
