"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GABRP",19.5549283962334,3.18304264276651,0.642049311577758,9.79434700251315e-12,1.27620341442746e-07
"REN",21.2155122717003,1.90096245415185,0.424655140591103,2.01594768463406e-08,0.000131338991653909
"HOMER2",23.7746553539946,1.59748007348536,0.34228324308264,1.05414208165803e-07,0.000457849044133473
"AGR2",14.8917296452579,2.08423170173244,0.550827286237663,4.63374180797334e-07,0.00150944139394732
"MMP7",19.5341897173455,2.4943736806548,1.01274045838792,5.70586390291025e-06,0.0123912344424868
"PAEP",239.544198164782,3.62349690752709,1.87770990764348,7.13232559593881e-06,0.0132763146450118
"DNER",12.2568221756087,1.56489091812416,0.45130446249048,1.23392664657016e-05,0.0177249746323683
"QPCT",81.0501277131708,1.05300860348657,0.283969160468552,1.11741838978117e-05,0.0177249746323683
"PTPN13",185.430262130572,1.05987573281923,0.321385928807408,2.2629271142345e-05,0.0245716169153963
"MMP12",87.3780222387194,2.78672395668274,1.22708089855472,2.97558040765466e-05,0.0298244713167233
"CP",138.777134747407,1.68541528179795,0.689860784718072,3.52558826498568e-05,0.0306256100618422
"TMTC1",218.98028603951,1.16886210319041,0.369802123789942,3.48678402833281e-05,0.0306256100618422
"OGN",136.296679626681,2.22294838371325,0.767521380348937,3.86458644466079e-05,0.0314722258587063
"REEP6",10.6269867566794,1.18742409139864,0.399878967654837,5.85763245522344e-05,0.0424027504953119
"SGPP2",14.2349750224631,1.41126077923567,0.459490467849037,6.76204310257841e-05,0.0440547108132983
